Casitas
Casita balanceada de 1 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 2 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 3 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 4 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 5 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 6 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 7 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 8 casitas: 	 rta1: 6	 rta2: 6
Casita balanceada de 9 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 10 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 11 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 12 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 13 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 14 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 15 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 16 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 17 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 18 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 19 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 20 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 21 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 22 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 23 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 24 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 25 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 26 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 27 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 28 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 29 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 30 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 31 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 32 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 33 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 34 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 35 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 36 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 37 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 38 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 39 casitas: 	 rta1: -1	 rta2: -1
Casita balanceada de 40 casitas: 	 rta1: -1	 rta2: -1
